date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
2017-11-29,172.63,172.92,167.16,169.48,41666359,40.1185,-2.07,111827232.8
2017-11-30,170.43,172.14,168.44,171.85,41527219,40.6795,1.4,113405124.2
2017-12-01,169.95,171.67,168.5,171.05,39759289,40.4901,-0.47,113078308.6
2017-12-04,172.48,172.62,169.63,169.8,32542391,40.1942,-0.73,107707060.2
2017-12-05,169.06,171.52,168.4,169.64,27350150,40.1563,-0.09,106171827.8
2017-12-06,167.5,170.2047,166.46,169.01,28560000,40.0072,-0.37,107011529.8
2017-12-07,169.03,170.44,168.91,169.32,25673311,40.0806,0.18,107264286.2
2017-12-08,170.49,171.0,168.82,169.37,23355230,40.0924,0.03,106038812.2
2017-12-11,169.2,172.89,168.79,172.67,35273762,40.8736,1.95,108064464.6
2017-12-12,172.15,172.39,171.461,171.7,19409230,40.644,-0.56,108549894.6
2017-12-13,172.5,173.54,172.0,172.27,23818449,40.7789,0.33,108357086.4
2017-12-14,172.4,173.13,171.65,172.22,20476539,40.7671,-0.03,106620780.2
2017-12-15,173.63,174.17,172.46,173.97,40169312,41.1813,1.02,109927146.6
2017-12-18,174.88,177.2,174.86,176.42,29421109,41.7613,1.41,111431460.6
2017-12-19,175.03,175.39,174.09,174.54,27436449,41.3162,-1.07,113666260.4
2017-12-20,174.87,175.42,173.25,174.35,23475650,41.2713,-0.11,113335130.2
2017-12-21,174.17,176.02,174.1,175.01,20949900,41.4275,0.38,112407324.2
2017-12-22,174.68,175.424,174.5,175.01,16349440,41.4275,0.0,112871878.2
2017-12-26,170.8,171.47,169.679,170.57,33185539,40.3765,-2.54,115365625.8
2017-12-27,170.1,170.78,169.71,170.6,21498211,40.3836,0.02,114379507.8
2017-12-28,171.0,171.85,170.48,171.08,16480189,40.4972,0.28,109342273.8
2017-12-29,170.52,170.59,169.22,169.23,25999920,40.0593,-1.08,106236814.0
2018-01-02,170.16,172.3,169.26,172.26,25555930,40.7765,1.79,103396142.2
2018-01-03,172.53,174.55,171.96,172.23,29517900,40.7694,-0.02,102791244.0
2018-01-04,172.54,173.47,172.08,173.03,22434600,40.9588,0.46,101808134.0
2018-01-05,173.44,175.37,173.05,175.0,23660020,41.4251,1.14,100828138.0
2018-01-08,174.35,175.61,173.93,174.35,20567770,41.2713,-0.37,99807029.8
2018-01-09,174.55,175.06,173.41,174.33,21584000,41.2665,-0.01,99452783.8
2018-01-10,173.16,174.3,173.0,174.29,23959900,41.2571,-0.02,97190011.4
2018-01-11,174.59,175.4886,174.49,175.28,18667730,41.4914,0.57,97041711.4
2018-01-12,176.18,177.36,175.65,177.09,25418080,41.9199,1.03,97361637.6
2018-01-16,177.9,179.39,176.14,176.19,29565949,41.7068,-0.51,99179519.6
2018-01-17,176.15,179.25,175.07,179.1,34386840,42.3957,1.65,98023025.2
2018-01-18,179.37,180.1,178.25,179.26,31193350,42.4335,0.09,98377473.4
2018-01-19,178.61,179.58,177.41,178.46,32425070,42.2442,-0.45,99375197.6
2018-01-22,177.3,177.78,176.6016,177.0,27108551,41.8986,-0.82,100101777.8
2018-01-23,177.3,179.44,176.82,177.04,32689150,41.908,0.02,102449627.8
2018-01-24,177.25,177.3,173.2,174.22,51105090,41.2405,-1.59,109400757.8
2018-01-25,174.505,174.95,170.53,171.11,41529000,40.5043,-1.79,111069450.0
2018-01-26,172.0,172.0,170.06,171.51,39143008,40.599,0.23,114598409.4
2018-01-29,170.16,170.16,167.07,167.96,50640406,39.7587,-2.07,121430452.8
2018-01-30,165.525,167.37,164.7,166.97,46048191,39.5243,-0.59,125440107.0
2018-01-31,166.87,168.4417,166.5,167.43,32478930,39.6332,0.28,126824707.0
2018-02-01,167.165,168.62,166.76,167.78,47230793,39.716,0.21,130367285.6
2018-02-02,166.0,166.8,160.1,160.5,86593828,37.9928,-4.34,143199131.2
2018-02-05,159.1,163.88,156.0,156.49,72738523,37.0435,-2.5,153014831.8
2018-02-06,154.83,163.72,154.0,163.03,68243844,38.5916,4.18,162550046.6
2018-02-07,163.085,163.4,159.0685,159.54,51608578,37.7655,-2.14,168554962.2
2018-02-08,160.29,161.0,155.03,155.15,54390520,36.7263,-2.75,174641086.2
2018-02-09,157.07,157.89,150.24,156.41,70672609,37.1755,1.22,185042062.0
2018-02-12,158.5,163.89,157.51,162.71,60819539,38.6729,4.03,192122353.8
2018-02-13,161.95,164.75,161.65,164.34,32549160,39.0604,1.0,192718996.0
2018-02-14,163.045,167.54,162.88,167.37,40644930,39.7805,1.84,193970614.0
2018-02-15,169.79,173.09,169.0,172.99,51147168,41.1163,3.36,197961377.6
2018-02-16,172.36,174.82,171.77,172.43,40176090,40.9832,-0.32,199511581.6
2018-02-20,172.05,174.26,171.42,171.85,33930539,40.8453,-0.34,200875979.2
2018-02-21,172.83,174.12,171.01,171.07,37471621,40.6599,-0.45,201832473.4
2018-02-22,171.8,173.95,171.71,172.5,30991939,40.9998,0.84,197809843.2
2018-02-23,173.67,175.65,173.54,175.5,33812359,41.7129,1.74,196266515.0
2018-02-26,176.35,179.39,176.21,178.97,38162168,42.5376,1.98,196070347.0
2018-02-27,179.1,180.48,178.16,178.39,38928129,42.3998,-0.32,193727891.6
2018-02-28,179.26,180.615,178.05,178.12,37782141,42.3356,-0.15,192074681.6
2018-03-01,178.54,179.775,172.66,175.0,48801969,41.594,-1.75,195339289.4
2018-03-02,172.8,176.3,172.45,176.21,38453953,41.8816,0.69,193583921.4
2018-03-05,175.21,177.74,174.52,176.82,28401369,42.0266,0.35,181945429.6
2018-03-06,177.91,178.25,176.13,176.67,23788510,41.9909,-0.08,172155427.0
2018-03-07,174.94,175.85,174.27,175.03,31703461,41.6012,-0.93,164847350.4
2018-03-08,175.48,177.12,175.07,176.94,23774109,42.0551,1.09,159280456.6
2018-03-09,177.96,180.0,177.39,179.98,32185160,42.7777,1.72,154839384.6
2018-03-12,180.29,182.39,180.21,181.72,32207080,43.1912,0.97,147146278.8
2018-03-13,182.59,183.5,179.24,179.97,31693529,42.7753,-0.96,141321076.8
2018-03-14,180.32,180.52,177.81,178.44,29368260,42.4116,-0.85,140684896.8
2018-03-15,178.5,180.24,178.0701,178.65,22743801,42.4616,0.12,137104671.0
2018-03-16,178.65,179.12,177.62,178.02,39404688,42.3118,-0.35,134756175.0
2018-03-19,177.32,177.47,173.66,175.3,33446770,41.6653,-1.53,133410311.0
2018-03-20,175.24,176.8,174.94,175.24,19649350,41.6511,-0.03,130554073.2
2018-03-21,175.04,175.09,171.26,171.27,37054941,40.7075,-2.27,130470737.2
2018-03-22,170.0,172.68,168.6,168.85,41490770,40.1323,-1.41,132570503.4
2018-03-23,168.39,169.92,164.94,164.94,41028781,39.203,-2.32,134013787.8
2018-03-26,168.07,173.1,166.44,172.77,37541238,41.064,4.75,133889601.8
2018-03-27,173.68,175.15,166.92,168.34,40922578,40.0111,-2.56,134288491.6
2018-03-28,167.25,170.02,165.19,166.48,41668551,39.569,-1.1,135065773.6
2018-03-29,167.805,171.75,166.9,167.78,38398512,39.878,0.78,132985082.2
2018-04-02,167.88,168.94,164.47,166.68,37586793,39.6165,-0.66,132811650.2
2018-04-03,167.64,168.7455,164.88,168.39,30278051,40.023,1.03,133186986.6
2018-04-04,164.88,172.01,164.77,171.61,34605488,40.7883,1.91,135350382.2
2018-04-05,172.58,174.2304,172.08,172.8,26933199,41.0711,0.69,134396329.8
